state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
CT,2020-05-30,0.934830165392307,0.658754516055339,1.20833052604795,1.04572871189985,0.753766217707472,1.33455814757232,1.16810470558164,0.842408686703321,1.50725446645544
CT,2020-05-31,1.02026057532662,0.722701955820987,1.30863260100166,1.12524550462271,0.81408267630565,1.43010666572319,1.23961270675131,0.897802739893378,1.58536324599957
CT,2020-06-01,1.30914086654635,0.92119116162424,1.70919760400055,1.39662057270523,1.01217432560718,1.75818315303878,1.48930216426693,1.09890192648697,1.86471804693948
CT,2020-06-02,0.540388072680112,0.376722506110292,0.709910527251537,0.648300009048023,0.446262394761513,0.876933610000535,0.775940064307187,0.50342266785576,1.08792821460741
CT,2020-06-03,0.905809590674553,0.643475471899432,1.15524942577542,1.01554757808046,0.734251111834147,1.28543477409462,1.13680307559603,0.820713335804514,1.46127667566341
CT,2020-06-04,0.960704576894342,0.680560666808929,1.22266434333406,1.06846630315166,0.773149656747253,1.34292690059381,1.18659962733136,0.860339253773898,1.50941952922894
CT,2020-06-05,0.918073482917158,0.651691271458633,1.16746862052396,1.02748498951291,0.745019505169281,1.29194237455865,1.14807856574272,0.834540949002553,1.46413654848989
CT,2020-06-06,0.872650912649796,0.62372459801912,1.1074798487288,0.982919080720108,0.71318997731651,1.23492634582708,1.1051397511896,0.802455233032181,1.41388524563302
CT,2020-06-07,0.925915428958177,0.657900841390651,1.17169006900866,1.0344363454878,0.752452673375982,1.29332536455573,1.15370258642708,0.841401589426699,1.46126180199081
CT,2020-06-08,1.01048783892139,0.721992033524537,1.27494357117436,1.11290463293195,0.81288541922074,1.38445577030908,1.22389285991821,0.896641292820404,1.53435382006349
CT,2020-06-09,1.29655215157358,0.919895394872693,1.66200044061648,1.38105114818,1.01055802394661,1.70918671383246,1.46984498282597,1.09680311413431,1.79442192231603
CT,2020-06-10,0.535168184577868,0.376223089727793,0.692738852782406,0.640863504640099,0.445774764101503,0.854625865582827,0.765237281370054,0.502600791116015,1.05644044093603
CT,2020-06-11,0.896990766917608,0.642821611695771,1.1197049546834,1.00375786974054,0.733646911481641,1.23989790858585,1.12083465961093,0.819033210961081,1.4069182762179
CT,2020-06-12,0.951304978482885,0.679951885060919,1.18569619727359,1.05583155468309,0.772036696920869,1.2940981953524,1.16936286949155,0.859162513825905,1.45162107136292
CT,2020-06-13,0.909044851164796,0.651113064640898,1.13026463258734,1.01509103225469,0.74401059622948,1.2433401529931,1.13078579609875,0.833346137866294,1.40635761850182
CT,2020-06-14,0.864031862972138,0.62314003357831,1.07133752622343,0.970839320305395,0.712680818016185,1.18795275871256,1.08790463460646,0.801677039249641,1.35570058191448
CT,2020-06-15,0.91673111013297,0.657414844137074,1.13400459068985,1.02150844454077,0.7515695249796,1.24006610898377,1.13514415746288,0.840167776591264,1.39754206102707
CT,2020-06-16,1.00043310552582,0.721339318783677,1.23019227776101,1.09876460282355,0.812211588348473,1.32591035548393,1.20358052330503,0.895086187934301,1.46617411166614
CT,2020-06-17,1.28361799180121,0.919000735736547,1.61709938356583,1.36324547807046,1.0093821080899,1.64721254179339,1.44477654863539,1.0950441130611,1.71686211349455
CT,2020-06-18,0.529829455847853,0.375995377817027,0.675069694075402,0.632359878705213,0.44491674404612,0.826890728621058,0.751383612670879,0.501103299436939,1.0158094806087
CT,2020-06-19,0.887963775269223,0.64247915218443,1.08094923178354,0.990319255784716,0.733203779296903,1.18931886799556,1.10032128656186,0.817642794536344,1.3376036172327
CT,2020-06-20,0.941700669329642,0.679562756596364,1.14680847864929,1.04147792619581,0.771228763373995,1.23945792069835,1.14733485075048,0.857412329088912,1.37677840342901
CT,2020-06-21,0.899840074837785,0.650756811690038,1.09033994906397,1.00105923887968,0.743354256078068,1.19322388872367,1.10879407685167,0.829429742031967,1.33133194301879
CT,2020-06-22,0.855264736631918,0.622695154733764,1.03186598964201,0.957209876902142,0.712197924136265,1.13966486592296,1.06609321805926,0.80024722804045,1.28320571704636
CT,2020-06-23,0.907407603720688,0.657110788694344,1.09442841849705,1.00697620131066,0.751050302101116,1.18887872207751,1.11179652672846,0.836875640506385,1.32102692484747
CT,2020-06-24,0.99024986741571,0.720916180949941,1.18919793642408,1.08293347492384,0.810346988578338,1.27008130907586,1.17818709572715,0.892610050412083,1.38465521782683
CT,2020-06-25,1.2705490069115,0.918383491360424,1.56419689458011,1.34340961434282,1.00552012430587,1.58618697368435,1.41369889345024,1.09153199072597,1.63286555492022
CT,2020-06-26,0.524465850758598,0.375850631900844,0.660110737780978,0.622916461652824,0.443715966103879,0.800986619440635,0.734233390304784,0.497610213494246,0.96574416705184
CT,2020-06-27,0.878893205686672,0.642260518105209,1.04383069607302,0.975454482026067,0.730765210255991,1.13730994725733,1.07514478319637,0.816635461221309,1.26271230139412
CT,2020-06-28,0.932074556141644,0.679235385429618,1.1063942807397,1.02567253637827,0.770263556883421,1.18698639229629,1.1204995536442,0.856754039567054,1.30052246429636
