state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
CT,2020-06-29,0.890641775849451,0.650527172753419,1.05558405464328,0.985678856127525,0.742179630707988,1.14139133430902,1.08219677421444,0.828553940476214,1.25860070397011
CT,2020-06-30,0.846529433320102,0.622472316563792,0.999145134134979,0.942336740487154,0.710464171433016,1.09489866388914,1.03990163608722,0.799475211789445,1.2144787157128
CT,2020-07-01,0.898141839829039,0.656686750419028,1.05838427266465,0.991190548158102,0.75027107693902,1.14144711166226,1.08397808718242,0.836338038202475,1.25039763505088
CT,2020-07-02,0.980158884679728,0.720333330792153,1.15467606684714,1.06582027888849,0.809727382294926,1.22022868806814,1.14817772562189,0.891463629537498,1.31303078179989
CT,2020-07-03,1.25763558534612,0.91613982689032,1.52776379615921,1.32208965107817,1.00497753426308,1.53471371422034,1.37733172961872,1.0863862605523,1.56139980443793
CT,2020-07-04,0.519198020468053,0.37551104570426,0.647449677402061,0.612813076687327,0.443276018926709,0.773118382243527,0.714278953531061,0.495666582653996,0.923881367923054
CT,2020-07-05,0.869988274449922,0.641477449008332,1.00948298269062,0.959619249991979,0.730454934269941,1.09589318325887,1.04610662738926,0.815794616254267,1.20343701403802
CT,2020-07-06,0.922652032171854,0.67873475061486,1.07107608348937,1.00892239278292,0.769911998863133,1.14400753595492,1.08982393901007,0.852554166043512,1.23914949480899
CT,2020-07-07,0.881667945274272,0.650229792649411,1.02129609692142,0.969465268246889,0.741935431664241,1.10097116373145,1.05206412896297,0.825220608832504,1.19897286181012
CT,2020-07-08,0.83803471771415,0.621841587569412,0.968880052092416,0.926737399562404,0.71010492916499,1.05466799618367,1.01048477370129,0.790297668366223,1.15956543518569
CT,2020-07-09,0.889157111566875,0.656037744318437,1.02561198857526,0.974718483048898,0.749906837245086,1.10257013610651,1.0530098017824,0.829327159782287,1.19343481459005
CT,2020-07-10,0.970404575870971,0.719419767049163,1.12082671094311,1.04805756965614,0.809484752150666,1.17885684524921,1.11507364113695,0.878980031941291,1.25507649861455
CT,2020-07-11,1.24519241261709,0.916007409021698,1.49186051877973,1.30009382157101,1.00458954460012,1.49103901461179,1.3376208595912,1.05780228458185,1.5033803070922
CT,2020-07-12,0.514151450883939,0.375353678119854,0.633526661193144,0.602446787621595,0.443190401533393,0.753744398767353,0.692679811343633,0.491578831637985,0.879670565828951
CT,2020-07-13,0.861465194889864,0.641349928674983,0.983867323140881,0.943442527842771,0.730231329850126,1.06142901850297,1.01492182349287,0.796026070921171,1.15210722248966
CT,2020-07-14,0.913661361345143,0.678672876481381,1.0433500576856,0.99190310761106,0.769658746298047,1.10885225139908,1.05717959200206,0.830516397034083,1.18835140291921
CT,2020-07-15,0.873134479090066,0.650124348640735,0.996517811332861,0.953081557289746,0.741681374381354,1.06577137233478,1.02029044019613,0.79914272910228,1.15003201303667
CT,2020-07-16,0.829983008648079,0.621746965278145,0.946026479988353,0.911056292049187,0.709421895046138,1.02344080579332,0.979735639677558,0.765376509430603,1.11302524963199
CT,2020-07-17,0.880665764313611,0.655954059268807,1.00335878036124,0.958244337616651,0.747392510220455,1.06732518001632,1.02091299550719,0.800053494575506,1.14800635595378
CT,2020-07-18,0.961214552608732,0.719344047279045,1.09729765128222,1.03038499551121,0.807080349288605,1.14939722892676,1.08105674850985,0.843407885655488,1.21057460324746
CT,2020-07-19,1.23350611331039,0.915924318379359,1.46359217823654,1.27833514292169,0.994233257919768,1.45907388107765,1.29718233606737,1.00446663852145,1.46129245320123
CT,2020-07-20,0.50943661564236,0.375321968386059,0.622782299230245,0.592250489744445,0.43973676110798,0.730630247581095,0.670897010802935,0.475041856030178,0.846598960483767
CT,2020-07-21,0.853512088547693,0.641258533740385,0.963432104848636,0.927594309243222,0.727881676654869,1.03232697042198,0.983665678021047,0.755166077800198,1.11191075893164
CT,2020-07-22,0.905296695529439,0.678633365051532,1.0228371718762,0.975312825742888,0.767299439833785,1.07952927590679,1.02471944013677,0.785899226408259,1.14805939958041
CT,2020-07-23,0.865220472711252,0.650056938722317,0.977153859985193,0.937191972604402,0.736615361711745,1.03976597047117,0.988949012364389,0.753311149546084,1.11286173419136
CT,2020-07-24,0.822538187179713,0.6216865037908,0.928117010050537,0.89592047770414,0.704491782567516,0.998919197395808,0.949633490095551,0.718275110836695,1.07749918415183
