date,Rt
2020-03-22,3.2769581395331
2020-03-23,3.21321311335567
2020-03-24,3.14723143556998
2020-03-25,3.07896359145856
2020-03-26,3.00838900765908
2020-03-27,2.93553432684762
2020-03-28,2.86044423055272
2020-03-29,2.78319589931238
2020-03-30,2.70388951509608
2020-03-31,2.62271739170386
2020-04-01,2.53987611725251
2020-04-02,2.45562792541453
2020-04-03,2.3702544407656
2020-04-04,2.28406849702898
2020-04-05,2.19744738081288
2020-04-06,2.11078156923109
2020-04-07,2.02444898881953
2020-04-08,1.93884224647783
2020-04-09,1.85435551003286
2020-04-10,1.77138782915099
2020-04-11,1.69029996374441
2020-04-12,1.61143265228595
2020-04-13,1.53509963718272
2020-04-14,1.46156504005737
2020-04-15,1.39105594167267
2020-04-16,1.32374487444706
2020-04-17,1.25417855966602
2020-04-18,1.1895835111208
2020-04-19,1.12971085356338
2020-04-20,1.07422723501806
2020-04-21,1.02290608459695
2020-04-22,0.975486419854014
2020-04-23,0.931738538186186
2020-04-24,0.891382692113672
2020-04-25,0.854189086528668
2020-04-26,0.81994799783399
2020-04-27,0.788433255801211
2020-04-28,0.759426094691965
2020-04-29,0.732733052688581
2020-04-30,0.708155622243643
2020-05-01,0.68548319372295
2020-05-02,0.664494773170944
2020-05-03,0.645035668563344
2020-05-04,0.626910531831756
2020-05-05,0.609995220637376
2020-05-06,0.594153335124156
2020-05-07,0.579238411586584
2020-05-08,0.565100480151564
2020-05-09,0.551637678016592
2020-05-10,0.538755875810859
2020-05-11,0.526359057284106
2020-05-12,0.514394198098799
2020-05-13,0.502803110343676
2020-05-14,0.491549224040948
2020-05-15,0.480610352476652
2020-05-16,0.469987926293114
2020-05-17,0.459678706128709
2020-05-18,0.449701821188353
2020-05-19,0.440080515481683
2020-05-20,0.43079312799481
2020-05-21,0.421856929014979
2020-05-22,0.413282426939917
2020-05-23,0.4050870706569
2020-05-24,0.397294224552938
2020-05-25,0.389888470588544
2020-05-26,0.382897992948628
2020-05-27,0.37633765843954
2020-05-28,0.370228051850259
2020-05-29,0.364585942772593
2020-05-30,0.359398012426423
2020-05-31,0.354651442881512
2020-06-01,0.350351604996269
2020-06-02,0.346483871124681
2020-06-03,0.343027014526578
2020-06-04,0.339952971027085
2020-06-05,0.337256163753996
2020-06-06,0.33489406525961
2020-06-07,0.33284775832207
2020-06-08,0.331074805342523
2020-06-09,0.329573328073827
2020-06-10,0.328303038607436
2020-06-11,0.327221957984582
2020-06-12,0.326306799930552
2020-06-13,0.325551618168674
2020-06-14,0.324929075764383
2020-06-15,0.32442330241626
2020-06-16,0.323999912124674
2020-06-17,0.323644711974344
2020-06-18,0.323356984879066
2020-06-19,0.323122354072643
2020-06-20,0.32291834360141
2020-06-21,0.322743472034168
2020-06-22,0.322608944094182
2020-06-23,0.322497376824588
2020-06-24,0.322418172663981
2020-06-25,0.322365130119187
2020-06-26,0.322342100368136
2020-06-27,0.32234940812399
2020-06-28,0.322385447151164
2020-06-29,0.32244868220915
2020-06-30,0.322553892631047
2020-07-01,0.32271217518306
2020-07-02,0.322932552423269
2020-07-03,0.323221580324107
2020-07-04,0.323573546000716
2020-07-05,0.323969846584428
2020-07-06,0.324445839019211
2020-07-07,0.324993506193491
2020-07-08,0.325620857623056
2020-07-09,0.326346317310405
2020-07-10,0.327175574615822
2020-07-11,0.328103992977512
2020-07-12,0.329143889467432
2020-07-13,0.330182818452304
2020-07-14,0.331300174464643
2020-07-15,0.332469506816378
2020-07-16,0.333700307066321
2020-07-17,0.334977730192775
2020-07-18,0.336284627042409
2020-07-19,0.337617480718485
2020-07-20,0.338981936220577
2020-07-21,0.340350756109368
2020-07-22,0.341711875113798
2020-07-23,0.343065923595255
2020-07-24,0.344407445374403
2020-07-25,0.345715026850209
2020-07-26,0.346996305116878
2020-07-27,0.348236331603869
2020-07-28,0.349447333036627
2020-07-29,0.350611775988574
2020-07-30,0.351722667542348
2020-07-31,0.352795252227212
2020-08-01,0.353825000987641
2020-08-02,0.354802558931158
2020-08-03,0.355739254384556
2020-08-04,0.356612636319548
2020-08-05,0.357461611258041
