date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-09-04,1,181,0,5,0,23,,,214,57254,739,104761,391,,,09007,9007
2020-09-05,1,181,0,5,0,23,,,215,57415,748,104596,395,,,09007,9007
2020-09-06,1,181,0,5,0,23,,,215,57577,756,104430,399,,,09007,9007
2020-09-07,1,181,0,5,0,23,,,216,57741,765,104262,404,,,09007,9007
2020-09-08,1,181,0,5,0,23,,,217,57906,773,104093,408,,,09007,9007
2020-09-09,1,181,0,5,0,23,,,217,58073,781,103922,411,,,09007,9007
2020-09-10,1,181,0,5,0,23,,,218,58242,790,103749,415,,,09007,9007
2020-09-11,1,181,0,5,0,23,,,219,58412,798,103575,419,,,09007,9007
2020-09-12,1,181,0,5,0,23,,,220,58584,806,103399,423,,,09007,9007
2020-09-13,1,181,0,5,0,23,,,220,58757,813,103223,427,,,09007,9007
2020-09-14,1,181,0,5,0,23,,,221,58932,821,103044,430,,,09007,9007
2020-09-15,1,181,0,5,0,23,,,222,59108,829,102864,434,,,09007,9007
2020-09-16,1,181,0,5,0,23,,,223,59286,836,102683,437,,,09007,9007
2020-09-17,1,181,0,5,0,23,,,223,59465,844,102501,440,,,09007,9007
2020-09-18,1,181,0,5,0,23,,,224,59645,851,102317,444,,,09007,9007
2020-09-19,1,181,0,5,0,23,,,225,59827,858,102133,447,,,09007,9007
2020-09-20,1,181,0,5,0,23,,,226,60010,865,101946,450,,,09007,9007
2020-09-21,1,181,0,5,0,23,,,227,60194,872,101759,453,,,09007,9007
2020-09-22,1,181,0,5,0,23,,,228,60379,879,101571,456,,,09007,9007
2020-09-23,1,181,0,5,0,23,,,228,60566,885,101381,459,,,09007,9007
2020-09-24,1,181,0,5,0,23,,,229,60754,891,101191,461,,,09007,9007
2020-09-25,2,181,0,5,0,23,,,230,60943,897,101000,464,,,09007,9007
2020-09-26,2,181,0,5,0,23,,,231,61132,903,100807,467,,,09007,9007
2020-09-27,2,181,0,5,0,23,,,232,61323,909,100614,469,,,09007,9007
2020-09-28,2,181,0,5,0,23,,,233,61515,915,100420,471,,,09007,9007
2020-09-29,2,181,0,5,0,23,,,234,61708,920,100225,473,,,09007,9007
2020-03-03,0,186,0,8,0,15,,,14,199,115,150397,117,,,09013,9013
2020-03-04,0,186,0,8,0,15,,,14,252,141,150323,138,,,09013,9013
2020-03-05,0,186,0,8,0,15,,,14,313,170,150241,160,,,09013,9013
2020-03-06,0,186,0,8,0,15,,,14,382,202,150149,182,,,09013,9013
2020-03-07,0,186,0,8,0,15,,,14,461,236,150049,203,,,09013,9013
2020-03-08,0,186,0,8,0,15,,,15,548,271,149944,221,,,09013,9013
2020-03-09,0,186,0,8,0,15,,,15,641,305,149835,236,,,09013,9013
2020-03-10,0,186,0,8,0,15,,,15,740,338,149726,247,,,09013,9013
2020-03-11,0,186,0,8,0,15,,,15,842,368,149620,251,,,09013,9013
2020-03-12,0,186,0,8,0,15,,,15,945,393,149518,250,,,09013,9013
2020-03-13,0,186,0,8,0,15,,,15,1047,413,149412,253,,,09013,9013
2020-03-14,0,186,0,8,0,15,,,15,1152,431,149301,259,,,09013,9013
2020-03-15,0,186,0,8,0,15,,,16,1260,449,149186,267,,,09013,9013
2020-03-16,0,186,0,8,0,15,,,16,1371,466,149066,276,,,09013,9013
2020-03-17,0,186,0,8,0,15,,,16,1485,484,148942,286,,,09013,9013
2020-03-18,0,186,0,8,0,15,,,16,1604,502,148813,296,,,09013,9013
2020-03-19,0,186,0,8,0,15,,,16,1727,520,148680,306,4,,09013,9013
2020-03-20,0,186,0,8,0,15,1.3946958778,1.18509922,17,1854,539,148541,317,4,,09013,9013
2020-03-21,0,186,0,8,0,15,1.3835260433,0.841913512,17,1986,559,148398,329,5,,09013,9013
2020-03-22,0,186,0,8,0,15,1.3719198538,0.7413408819,17,2123,579,148250,340,14,,09013,9013
2020-03-23,0,186,0,8,0,15,1.3601778676,0.6985424798,18,2264,600,148096,352,16,,09013,9013
2020-03-24,0,186,0,8,0,15,1.3479164601,0.6732145298,18,2411,622,147938,365,19,,09013,9013
2020-03-25,0,186,0,8,0,15,1.3356245351,0.6652158975,18,2562,644,147773,378,27,,09013,9013
2020-03-26,0,186,0,8,0,15,1.3236314164,0.6571310073,19,2719,667,147603,391,33,,09013,9013
2020-03-27,0,186,0,8,0,15,1.3119133315,0.6316462135,19,2881,690,147427,404,33,,09013,9013
2020-03-28,0,186,0,8,0,15,1.3002211689,0.6234744448,19,3049,715,147246,418,37,,09013,9013
2020-03-29,0,186,0,8,0,15,1.2885795082,0.6152880973,20,3223,740,147058,433,40,,09013,9013
2020-03-30,0,186,0,8,0,15,1.2773400063,0.6185326621,20,3402,765,146864,447,50,,09013,9013
2020-03-31,0,186,0,8,0,15,1.2661585888,0.6159869566,21,3588,792,146663,462,56,,09013,9013
2020-04-01,0,186,0,8,0,15,1.2552835169,0.590258806,21,3780,819,146455,478,61,,09013,9013
2020-04-02,0,186,0,8,0,15,1.24316243,0.5879843597,22,3978,847,146241,494,67,,09013,9013
2020-04-03,0,186,0,8,0,15,1.2313110733,0.5740850435,22,4183,876,146021,509,79,,09013,9013
2020-04-04,0,186,0,8,0,15,1.220131164,0.5542183947,23,4393,904,145797,523,91,,09013,9013
2020-04-05,0,186,0,8,0,15,1.2097128701,0.5341318863,23,4609,932,145572,532,94,,09013,9013
2020-04-06,0,186,0,8,0,15,1.199467936,0.5255423386,24,4827,958,145346,540,103,,09013,9013
2020-04-07,0,186,0,8,0,15,1.1888716528,0.5170542167,24,5049,981,145119,545,111,,09013,9013
2020-04-08,0,186,0,8,0,15,1.1776704343,0.4971937192,25,5272,1001,144894,548,128,,09013,9013
2020-04-09,0,186,0,8,0,15,1.1662578543,0.4773942365,25,5495,1019,144669,548,145,,09013,9013
2020-04-10,0,186,0,8,0,15,1.1540615288,0.4578210017,26,5719,1032,144448,547,152,,09013,9013
2020-04-11,0,186,0,8,0,15,1.1411935353,0.4557621687,27,5941,1043,144229,543,171,,09013,9013
2020-04-12,0,186,0,8,0,15,1.1270509217,0.4367507788,27,6161,1049,144015,537,182,,09013,9013
2020-04-13,0,186,0,8,0,15,1.1116103861,0.4354345748,28,6379,1052,143806,529,195,,09013,9013
2020-04-14,0,186,0,8,0,15,1.0956971265,0.4342548345,29,6592,1051,143603,518,201,,09013,9013
2020-04-15,0,186,0,8,0,15,1.0786372887,0.4276325801,29,6801,1046,143406,506,216,,09013,9013
2020-04-16,0,186,0,8,0,15,1.0607067325,0.4212616804,30,7005,1037,143216,492,241,,09013,9013
2020-04-17,0,186,0,8,0,15,1.0418957313,0.420918446,31,7203,1024,143033,477,258,,09013,9013
2020-04-18,0,186,0,8,0,15,1.0223698956,0.4150080639,31,7395,1009,142853,464,270,,09013,9013
2020-04-19,0,186,0,8,0,15,1.0022261327,0.4035025593,32,7583,992,142677,453,276,,09013,9013
2020-04-20,0,186,0,8,0,15,0.981229923,0.4037901403,33,7766,974,142504,443,299,,09013,9013
2020-04-21,0,186,0,8,0,15,0.9599362368,0.3983900926,34,7945,956,142334,434,305,,09013,9013
2020-04-22,0,186,0,8,0,15,0.9388859866,0.3986932737,34,8120,937,142168,425,331,,09013,9013
2020-04-23,0,186,0,8,0,15,0.9184876017,0.3930347749,35,8292,919,142005,416,359,,09013,9013
2020-04-24,0,186,0,8,0,15,0.8988010509,0.3871707872,36,8460,901,141846,408,375,,09013,9013
2020-04-25,0,186,0,8,0,15,0.8812693891,0.3806847366,36,8624,884,141689,399,384,,09013,9013
2020-04-26,0,186,0,8,0,15,0.8671718605,0.3905278452,37,8786,866,141536,391,407,,09013,9013
2020-04-27,0,186,0,8,0,15,0.8561625158,0.3937059693,38,8944,849,141386,383,419,,09013,9013
2020-04-28,0,186,0,8,0,15,0.8494842787,0.3956338103,39,9099,832,141239,375,422,,09013,9013
2020-04-29,0,186,0,8,0,15,0.847813394,0.4018896559,39,9250,815,141096,367,427,,09013,9013
2020-04-30,0,186,0,8,0,15,0.8510435873,0.4009571794,40,9398,799,140955,359,437,,09013,9013
2020-05-01,0,186,0,8,0,15,0.8598956863,0.4099488039,41,9544,782,140817,352,446,,09013,9013
2020-05-02,0,186,0,8,0,15,0.8742067214,0.4058175639,41,9686,766,140683,344,461,,09013,9013
2020-05-03,0,186,0,8,0,15,0.8931294905,0.4061285337,42,9825,750,140551,337,461,,09013,9013
2020-05-04,0,186,0,8,0,15,0.9164837002,0.4109337594,42,9961,735,140422,330,464,,09013,9013
2020-05-05,0,186,0,8,0,15,0.9434971773,0.4146826457,43,10094,719,140296,323,502,,09013,9013
2020-05-06,0,186,0,8,0,15,0.9725753782,0.4062884921,44,10225,704,140172,316,513,,09013,9013
2020-05-07,0,186,0,8,0,15,1.0024358644,0.4323095284,44,10352,689,140052,309,522,,09013,9013
2020-05-08,0,186,0,8,0,15,1.0315448311,0.4700945151,45,10477,675,139934,302,530,,09013,9013
2020-05-09,0,186,0,8,0,15,1.0576848777,0.4625485336,45,10599,660,139818,296,540,,09013,9013
2020-05-10,0,186,0,8,0,15,1.0794739207,0.4678055841,46,10719,646,139705,289,543,,09013,9013
2020-05-11,0,186,0,8,0,15,1.0953063651,0.4632351511,47,10835,632,139595,283,545,,09013,9013
2020-05-12,0,186,0,8,0,15,1.1038325711,0.449226842,47,10950,619,139487,277,556,,09013,9013
2020-05-13,0,186,0,8,0,15,1.1043691143,0.4432984526,48,11061,605,139381,270,560,,09013,9013
2020-05-14,0,186,0,8,0,15,1.0960382443,0.4283828595,48,11171,592,139278,264,568,,09013,9013
2020-05-15,0,186,0,8,0,15,1.0788084653,0.4044891549,49,11277,579,139177,258,583,,09013,9013
2020-05-16,0,186,0,8,0,15,1.0534308332,0.3944945382,49,11382,566,139079,253,636,,09013,9013
2020-05-17,0,186,0,8,0,15,1.0205471545,0.3808932278,50,11484,554,138982,247,715,,09013,9013
2020-05-18,0,186,0,8,0,15,0.981330447,0.3633466026,50,11584,542,138888,241,735,,09013,9013
2020-05-19,0,186,0,8,0,15,0.9376442992,0.3470901938,51,11681,530,138796,236,770,,09013,9013
2020-05-20,0,186,0,8,0,15,0.8905710448,0.337585061,51,11776,518,138706,231,786,,09013,9013
2020-05-21,0,186,0,8,0,15,0.8414423034,0.334446799,52,11869,506,138618,225,787,,09013,9013
2020-05-22,0,186,0,8,0,15,0.7931338144,0.3310717505,52,11960,495,138532,220,796,,09013,9013
2020-05-23,0,186,0,8,0,15,0.7469616189,0.3386270125,52,12049,484,138449,215,799,,09013,9013
2020-05-24,0,186,0,8,0,15,0.7046575011,0.3450656568,53,12136,473,138367,210,807,,09013,9013
2020-05-25,0,186,0,8,0,15,0.6675935029,0.3615386141,53,12221,462,138287,205,812,,09013,9013
2020-05-26,0,186,0,8,0,15,0.6361858266,0.3648317266,54,12304,452,138209,200,821,,09013,9013
