state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CT,2020-02-22,0,37.4238039317256,8.72323188061028,110.468401717138,0,3.74238039317256e-14,8.72323188061028e-15,1.10468401717138e-13,3.55224456659229,2.32334166133761,4.79144109395938,0,0,0
CT,2020-02-23,0,37.4238039317256,8.72323188061028,110.468401717138,0,7.20064133929294e-07,1.6940657016389e-07,2.10552902802337e-06,3.52068890945241,2.29702958138951,4.76149046276445,5.79323406916212,1.35036310622372,17.1005948396145
CT,2020-02-24,0,37.4238039317256,8.72323188061028,110.468401717138,0,1.47613147455505e-05,3.47283468835975e-06,4.3163345074479e-05,3.48907627350347,2.27077506069004,4.73018791219033,26.8442534180135,6.25721125662169,79.239453471587
CT,2020-02-25,0,37.4238039317256,8.72323188061028,110.468401717138,0,8.49675678036566e-05,1.9989975279339e-05,0.000248452425306757,3.32485330231696,2.13917785376058,4.54902457786522,59.0610573573653,13.7667271713542,174.337718899317
CT,2020-02-26,0,37.4238039317256,8.72323188061028,110.468401717138,0,0.000364712483835187,8.58044277880103e-05,0.00106645045269384,3.44812664416941,2.23607964355037,4.68281972901104,96.2734368523331,22.4406774666284,284.182033346888
CT,2020-02-27,0,37.4238039317256,8.72323188061028,110.468401717138,0,0.00106497485408143,0.000250552317272393,0.00311407743244656,3.42762116776603,2.22063731939611,4.66198692012405,133.697240784059,31.1639093472386,394.650435064026
CT,2020-02-28,0,63.3235912118813,18.9296361953751,161.993073196879,0,0.00240465417525688,0.000565733241062311,0.00703141418908403,3.42742146338332,2.22047544173495,4.6619219585115,168.354732427951,39.2423328170049,496.953175758437
CT,2020-02-29,0,80.4303066044241,26.7243291283777,193.942634499197,0,0.00474608121100656,0.00111670795054657,0.013876785934038,3.70988948264838,2.39712865355786,5.02572047090004,202.750307855675,48.0764535613988,595.980756725626
CT,2020-03-01,0,101.484086700716,35.0882684110085,236.934710487255,0,0.00835825150312756,0.00196833313081687,0.0244156668104639,3.83837895037205,2.51579305653793,5.15597036563594,245.59004894285,61.731330012487,708.377947642336
CT,2020-03-02,0,126.272152163223,46.2017892657135,285.376340430566,0,0.0134670698252039,0.00318009947535278,0.0392252864011964,3.85803257267064,2.53029819684474,5.17316815895494,301.752864935835,81.393385054603,836.541647335927
CT,2020-03-03,0,158.054329200722,60.922667389002,345.308571478561,0,0.0204160611123474,0.0048563629662162,0.0592961220277221,3.85790297873792,2.53017482101092,5.17308942402243,374.714258936721,107.851811125722,989.611786253718
CT,2020-03-04,0,195.682647019443,79.3099343254472,412.290603980359,0,0.0295877731791407,0.00713101080282778,0.0856048783263922,3.79833279729674,2.48338729786633,5.11789842196973,467.822244917157,145.138303045001,1190.99186360979
CT,2020-03-05,0,249.371279176641,105.440221699051,503.460822066421,0,0.0411819754159874,0.0101589133025941,0.118015934325888,3.83778178273829,2.51522914442907,5.1549991997208,585.125075597411,195.208749139381,1435.09515735123
CT,2020-03-06,0,290.493623036204,128.711199996276,574.655531485565,0,0.0558284197932019,0.0142126539267845,0.15769913047535,3.5547206381591,2.27090572734823,4.88351472007909,732.367243239745,260.511474484081,1698.2821950943
CT,2020-03-07,2,425.538286517212,202.289084298003,791.030647894307,0,0.0741887048866887,0.0197167964243102,0.20570798972911,4.15316237838435,2.92393076851694,5.32017578778263,914.767462064152,343.049356162518,2037.91987259884
CT,2020-03-08,0,518.059195850198,259.507801012822,931.661349361973,0,0.0968777651006266,0.0269892210662749,0.262960326326792,4.02694618703148,2.79828794712705,5.20536939537885,1144.95761943107,451.786483323457,2452.48803159629
CT,2020-03-09,0,681.292839228568,352.032939011245,1195.68033952365,0,0.125330446883158,0.0364324963075448,0.330552831999123,4.15209493028236,2.92238521078823,5.31910226873757,1450.16709416962,605.332012518255,2980.86389949039
CT,2020-03-10,0,849.070545318331,454.252863129863,1466.86851154003,0,0.160668237579361,0.0489981043765038,0.413084438304483,4.04498953390205,2.81918962152042,5.22526676790363,1847.01749543613,817.382004452434,3630.67687615812
CT,2020-03-11,1,1101.56562081623,601.655441047759,1855.41421597463,0,0.204770942074616,0.0662164244912256,0.509717709609719,4.08257590507381,2.85458385012455,5.26045289402867,2360.17017397768,1101.35556473805,4499.2783757717
CT,2020-03-12,2,1547.04417502874,852.368466984058,2580.24437636498,0,0.260017985999276,0.0889371751356814,0.626416365560155,4.44904616073992,3.17456969095219,5.58894356187354,3016.43417741888,1478.14829018183,5536.94518315389
CT,2020-03-13,6,1781.99326867724,998.760873053718,2954.46119583897,0,0.329373154049763,0.120380527462661,0.769420163979046,3.97695781925389,2.73689815810146,5.16735056547341,3880.42111641529,1977.91172306912,6937.24580935828
CT,2020-03-14,11,2435.18373324926,1471.744353994,3837.0616118594,0,0.417037441807127,0.160305807394578,0.947708257508775,4.20841089499207,3.17199374000901,5.187037384953,5014.17840554507,2633.73594051588,8749.67059127029
CT,2020-03-15,2,2775.54578276379,1746.24490923296,4283.1499487127,0,0.528557340681753,0.214509163264895,1.14872986475981,3.73086533442616,2.73746138385939,4.72671804190822,6451.03801328643,3485.62604676196,11057.8034425855
CT,2020-03-16,6,3776.97388374357,2372.28401289812,5869.43950830542,0,0.670935288976723,0.289352075385737,1.39301548943817,3.94466780682127,2.92125637212646,4.93545530397751,8260.21016070755,4614.50255981275,13777.6077969096
CT,2020-03-17,38,3568.90527462111,2291.99790829604,5400.82725088485,0,0.853093703046097,0.389333874354745,1.68499614295084,2.94152756652133,2.04006258631787,3.91390418106922,10491.9736223662,6088.51449260273,17214.5730469403
CT,2020-03-18,0,4330.48526455576,2751.70970682822,6523.52222209986,0,1.08641545711485,0.520564450582355,2.05031918618631,2.83608496885376,1.95705273651989,3.79445445642952,13151.4221319288,7894.64698396925,20860.9658225652
CT,2020-03-19,91,4776.05112134809,2956.18143021487,7362.87828575164,2,1.38496102547906,0.69334600070497,2.51529466094083,2.55828842892779,1.73336385666217,3.48710304183725,16023.5594935805,9905.23361620175,25008.3295363664
CT,2020-03-20,35,6153.05639846061,3671.91399944057,9540.58392650811,1,1.76426665772569,0.921360582167569,3.06979716272696,2.74397239464815,1.87497061267894,3.69281488472019,19127.9782763223,12065.2246510785,29404.5179420874
CT,2020-03-21,0,7503.9589442472,5222.04569282416,10754.6828607436,1,2.24187210747717,1.21776312050836,3.7380621958679,2.85305816531895,2.16103042523887,3.62492798830857,22571.9194075101,14449.0739408253,34561.8252568572
CT,2020-03-22,133,7353.76957382778,5125.26737199642,10394.2466457351,4,2.83466213876439,1.60557873645409,4.61283786899124,2.36855513519972,1.73342013027521,3.10148449860956,26682.658256659,17292.0897661161,40308.8257060824
CT,2020-03-23,88,6395.0719502008,4370.88818943811,9172.63590920082,2,3.56399923441889,2.09173909635164,5.69316602848203,1.74883380386656,1.20864572008377,2.42271233949231,31453.3380604006,20835.2609548237,46728.4454420067
CT,2020-03-24,203,8097.99643973043,5409.56625502289,11725.1843602426,2,4.44733028480702,2.70582196670617,6.92862219533744,1.91288811800713,1.3490676473417,2.59753848942335,36231.1642448208,24459.8728293241,53233.3812275477
CT,2020-03-25,257,8408.90226002808,5437.46081093572,12533.5072248892,7,5.50927069992964,3.45333805702637,8.36662633308851,1.7651785240386,1.22665992476843,2.43061704614719,40628.9535355385,27949.3481914526,58564.7379790971
CT,2020-03-26,137,10370.5651484424,6535.31261249932,15751.9796180912,2,6.76750771269526,4.36638002310435,10.0579949214563,1.95553110987755,1.38723982332785,2.64109095347372,44989.210888478,31269.9624072515,64209.4411889544
CT,2020-03-27,279,11183.9079208721,6750.44333825208,17424.7788474761,6,8.23817462005706,5.42390856564066,11.9931110501625,1.90575165838157,1.3479117121598,2.57995570335678,49561.8938926174,34837.1964753778,70237.2957387484
CT,2020-03-28,233,10506.3469540539,7406.89469093902,14491.0285326323,6,9.93546470247258,6.70004203303541,14.2756475755148,1.64274918648883,1.18877293948768,2.18690460176276,54765.3571563465,38162.9262171476,77756.8054146724
CT,2020-03-29,469,9187.45021467216,6310.47582920605,13005.8522906311,1,11.8694115906638,8.17372649626374,16.7352502935249,1.30526114728307,0.909431668409049,1.78731891640491,60336.2524607181,41622.9321982409,85668.4845789221
CT,2020-03-30,578,11202.3912601701,7632.82602427967,15877.7850605798,2,14.0462438183622,9.85376795461311,19.4874707960045,1.46358452211253,1.05227035888965,1.95213872112012,65419.7101131906,45595.2894211915,92371.9881058976
CT,2020-03-31,557,11863.8320701359,7894.22886215283,17117.4156273993,33,16.4733687537617,11.7658315789654,22.5716929789469,1.45091614436606,1.04451501207548,1.93706004972498,69681.0190823768,48989.3174214013,97208.2160565977
CT,2020-04-01,429,13789.1777257063,8983.48719975015,20247.3100938583,16,19.1558922020739,13.889868199099,25.843936929262,1.58714165431742,1.15055989005876,2.09607854071724,73766.1798095574,52211.3800660588,101994.370369483
CT,2020-04-02,267,13761.0342068305,8652.28183804783,20716.1287556186,27,22.0727828825658,16.2842664722169,29.4593819090732,1.48981481652188,1.07731252416036,1.98086021559642,78139.3233398807,55699.7425573341,108132.389169845
CT,2020-04-03,1090,13978.7157554136,8441.94695057018,21915.2437689601,19,25.229103669886,18.8486175105309,33.2774647827317,1.41738925671552,1.0198199092011,1.89143282025912,83107.8507998669,58905.8893625226,114957.437335726
CT,2020-04-04,362,12412.0437251434,8486.68402745388,17593.3411791535,34,28.6084041882256,21.6706257722828,37.3509019943095,1.2034169696742,0.819116424681432,1.64221635248347,88312.8743937573,61966.8579879413,122925.885649518
CT,2020-04-05,399,11382.33539589,7631.1936616933,16384.3991702326,24,32.1902090080431,24.6637500345014,41.6508536103216,1.04645688784332,0.705614035697002,1.44666377198989,93153.5706338089,64699.7338219843,130859.883310654
CT,2020-04-06,1231,12141.2928866085,8040.37463885851,17714.8686314256,17,35.9792163933055,27.8482050674723,46.0659566191781,1.07231055344174,0.727450721829831,1.4691110066489,96780.6663528686,67474.9351082695,135738.341971587
CT,2020-04-07,875,11956.1621624893,7673.88474345999,17694.1325432483,71,39.9498144208657,31.1894438079729,50.6634061221043,1.02863770109053,0.698733659715868,1.41405417311021,99057.2577343618,69635.4732627757,137782.171995185
CT,2020-04-08,0,11176.1087371804,6907.19961529196,16989.9197828349,49,44.0612981058765,34.6750437485469,55.5857891730868,0.944598637447126,0.637033906413063,1.307187506631,100462.212333114,71322.8400140471,139415.838063418
CT,2020-04-09,2003,10766.3685228335,6402.51665969102,16770.5167223235,54,48.3105407271505,38.12717018099,60.8049436433585,0.900242648882471,0.605626173196152,1.2459913747617,101133.044272294,71888.4468451631,140369.228268821
CT,2020-04-10,754,10927.9531351903,6287.03147700458,17616.5098322851,68,52.6409315467382,41.6839789574964,65.8623040119414,0.910963400033308,0.609862092971592,1.26142200831028,101019.718737538,71593.3374947545,140209.589039762
CT,2020-04-11,972,11616.2017238093,7648.84670340674,16812.1446688919,46,57.0338642325291,45.5337484216194,71.2113919614766,0.990699547493569,0.657509557390732,1.39570816940127,100284.810788727,70039.9514024609,140448.526282293
CT,2020-04-12,525,5431.16265418631,3239.24630510429,8549.66868668007,60,61.419194813101,49.3074528825534,76.286215983042,0.46766389334336,0.284164479293143,0.705346603219218,99355.3553771123,68883.228803962,140770.226392329
CT,2020-04-13,1346,5257.45949948127,3157.66452458731,8117.81132133519,48,65.752134008326,52.8334523796667,81.6381668582669,0.459528561716764,0.287468696237315,0.677084734149119,97666.0542824588,67662.5884635387,138299.261758087
CT,2020-04-14,608,9157.01508851405,5718.03055221614,13897.926569587,69,69.9498216716548,56.3670646477646,86.7373672997217,0.831972066155091,0.550784758640906,1.17303531712957,93680.2797106009,64938.6356461709,132440.918785619
CT,2020-04-15,766,8901.71209997202,5411.07466878916,13761.9658592402,197,73.9964377652551,59.7269750711523,91.5783659364024,0.852613671478786,0.562586418629278,1.20290055806987,88588.0305336143,61275.8587541834,124490.97757462
CT,2020-04-16,1129,7974.41995199091,4660.7702870698,12562.6038509269,103,77.7988237045451,62.8863163545318,96.2527995010335,0.799284149189064,0.529220928271885,1.12638894607242,84313.400494802,58096.7883153419,118743.024572086
CT,2020-04-17,925,7294.28745517234,4080.20122726599,11923.7587765229,65,81.3301657696003,65.7441929764879,100.579081553564,0.757599357771245,0.499342619152471,1.0701598991624,80988.5208552352,55793.1101564662,114436.25695851
CT,2020-04-18,741,6138.43598252109,3938.78304155224,8983.57855118852,50,84.503933254918,68.340390923396,104.358805751105,0.673916936971318,0.447020304062416,0.9632201720477,78134.0060439293,53442.1944269107,110527.749726
CT,2020-04-19,412,7258.32971341824,4624.6913881641,10663.0344893588,41,87.3075720983594,70.4425378772146,108.219180024114,0.826657362311596,0.551155462405011,1.16898066874782,75280.1478884839,50881.0836612622,107393.42558857
CT,2020-04-20,1853,5856.87499013126,3631.4105098479,8795.7331699482,204,89.6661210043782,72.1948488788804,111.352991647191,0.693009764048682,0.458988104382769,0.989026566730475,72329.3842078677,48790.6066189052,103155.514506036
CT,2020-04-21,545,4656.71059440938,2768.81275326895,7222.55171766102,92,91.6034294661027,73.8678237793475,113.682304246321,0.571288259377251,0.371734624738257,0.823967334343559,69540.4662421763,46927.2510201049,99089.9420469412
CT,2020-04-22,2109,5309.85687512995,3086.99723813439,8328.76246356079,121,93.0897631104842,75.3397908401466,115.776115874763,0.678669132046195,0.450156381318958,0.968324918768133,66480.2364921115,44961.6292153019,94677.9222465456
CT,2020-04-23,631,4992.8852773606,2788.09530478404,8079.02454947,95,94.1254900042423,76.1728544337758,117.286890289375,0.6698183214737,0.443976629244884,0.955776585132871,63068.1869641871,42733.8215890798,90022.235774831
CT,2020-04-24,836,4219.38151426974,2261.79229603567,7100.17974331784,128,94.7352699112154,76.731729286753,117.814711546682,0.594998629926252,0.387699098759112,0.857980331561174,59712.6625887521,40213.1897259019,85093.4903620931
CT,2020-04-25,647,5621.92461013979,3930.49489957299,7917.2378397485,98,94.9708213998433,76.754974659929,117.908483326537,0.855741693343954,0.594707753911889,1.13390134375495,56444.0077199931,37785.5295912561,81016.1767667592
CT,2020-04-26,686,3797.02703511802,2579.20626501713,5422.24921050573,59,94.7692135821789,76.3622990122035,117.706788203167,0.611098546886796,0.416011583075769,0.825343489699153,53407.4617439813,35498.2089458103,77270.8453748109
CT,2020-04-27,728,3681.53421527004,2471.88878471532,5286.76722016494,88,94.2426903084396,75.6998611587592,117.217537968516,0.621666922710019,0.427067120364086,0.829517224220819,50823.3999688668,33609.0896520933,73466.3794554235
CT,2020-04-28,315,4210.52552391842,2826.9194027622,6067.25804414812,75,93.3255713473269,74.9610742302327,116.04822635841,0.748310541984779,0.521074585498375,0.994554515891725,48196.1898986763,32162.2947707477,69141.3920357046
CT,2020-04-29,455,3489.484337984,2285.10553783199,5083.74419287303,82,92.1139225415591,73.897549766106,115.015485571941,0.65334272703718,0.450951081481534,0.86826912398284,45620.2125613059,30729.7264991265,65158.4368187281
CT,2020-04-30,933,3056.82698618054,1934.4980055898,4544.99318977422,88,90.6245949576011,72.628909627108,113.057049947455,0.601523443261856,0.41230889190016,0.806111146440722,43269.4120542911,29407.8876080297,61630.008258992
CT,2020-05-01,1064,3327.52409849825,2063.4277454336,5011.61834104649,82,88.8890165240383,71.1339306418451,110.904376506691,0.689688995810305,0.473924880949839,0.916106007899944,40957.6830682575,28166.3534781041,57778.1390906921
CT,2020-05-02,523,4539.41796814445,2773.72951300355,6890.23288275343,97,86.9482392110235,69.6169846096513,108.542444249663,0.994388856636447,0.691853805006905,1.3160659913704,38672.5785487674,26762.2156703472,54257.7012225752
CT,2020-05-03,0,4470.14902113398,2661.81539210588,6981.10536825621,0,84.8277274210744,67.7369879026206,105.808845917467,1.02646366651365,0.716016571513676,1.36155005782279,36784.4240896084,25567.2957459438,51863.6375990113
CT,2020-05-04,686,3342.78274091419,1881.46025570847,5317.22378157766,120,82.5083505419154,65.8569920373656,103.405262966324,0.788120899859254,0.547996173481903,1.04147889107368,35665.1402702303,24671.5193368209,50566.372562505
CT,2020-05-05,648,3655.35613798576,1994.84059929819,5960.88921074121,77,80.0871545960928,63.8798477245662,100.503377978118,0.875297541034289,0.610631819674127,1.15456197855055,35004.1489956074,23834.848555386,49844.485498382
CT,2020-05-06,374,2939.05796201967,1519.88510624482,4930.94872436608,85,77.5903100229822,61.7769801323721,97.4688440766286,0.714184880595292,0.494848149226406,0.944701594188755,34354.562681285,23061.489186231,49275.0354489806
CT,2020-05-07,789,3245.66284126724,1613.34787490653,5615.09018496999,79,75.0481171580661,59.7795819762591,94.442967994452,0.803338494529146,0.558525482523201,1.05925747462133,33631.1040369308,22130.343318774,49351.863060474
CT,2020-05-08,627,2873.73590577597,1360.5693249825,5079.37145197877,77,72.4399894030787,57.6499817979961,91.0258328170135,0.728413385026968,0.504690951783857,0.96418533714001,32725.7678846577,20842.9186908473,48857.7223440094
CT,2020-05-09,573,4113.17951289295,1927.63544555823,7427.74042299505,58,69.8349042866516,55.5103392150393,87.775677333733,1.07325508010506,0.745381774522516,1.41792019501967,31748.3296361318,19687.2937492824,48016.369845387
CT,2020-05-10,570,4186.27598742518,1884.65560456712,7761.1193459693,35,67.2604071592143,53.373966973783,84.3679785038659,1.11997811566136,0.780296835118996,1.48171703424432,30883.4528297823,18565.8718005007,47696.6288256341
CT,2020-05-11,211,2595.3832945631,1083.37469707236,4941.34053038415,41,64.7694618379026,51.4396579666817,81.1360711806489,0.698464139842238,0.487040229836926,0.922025087272297,30533.5453594299,17709.2040296261,48471.0740926684
CT,2020-05-12,568,2982.37520561668,1194.48091515163,5852.13565861436,33,62.3092434070684,49.5349271810817,78.2252971765209,0.803656665305433,0.562705938065284,1.05751828088636,30406.7212941331,16897.1464958452,49423.1548539418
CT,2020-05-13,522,2980.41301444148,1142.38765776118,6004.03731100411,84,59.9399529794634,47.6876901457494,75.2137277395467,0.811848259067622,0.568606599046375,1.06761366040573,29990.9003711604,16105.4865803556,50059.0386005313
CT,2020-05-14,609,2927.63342734324,1064.41417597182,6032.55588532984,94,57.6589120685535,46.0240499871094,72.0815357688948,0.811034216046745,0.568430637754454,1.06579976862667,29404.3709289206,15207.9992335412,50374.6994315802
CT,2020-05-15,621,2740.7257725104,944.230097499295,5816.52774971626,66,55.5105140654125,44.2982247716392,69.3050542799656,0.774135063148847,0.540593254452755,1.01405978542406,28750.257540574,14255.201259418,50600.0202538266
CT,2020-05-16,618,3690.84433601726,1244.26035085109,7931.34260551534,54,53.4600295088012,42.5372843403842,66.7410010609053,1.0672187252545,0.745467252386642,1.40331873341929,28059.9474193834,13358.8964086927,50538.6464770716
CT,2020-05-17,716,3544.69179750692,1134.98921364848,7853.04850776642,69,51.4881293527365,40.9572083286079,64.5372565089591,1.04353355786613,0.731294986927369,1.3702588972771,27481.876998377,12516.0511197408,50569.6190196008
CT,2020-05-18,697,2876.39416927335,863.82825449197,6579.48142275907,42,49.6469241868751,39.2786714295761,62.3245274384847,0.849188449848298,0.597756888483798,1.10895734952372,27282.7415787872,11842.5873203246,51447.1115807646
CT,2020-05-19,314,3042.06136546693,873.401534087525,7099.08807278784,22,47.9471969141689,37.7208292149448,60.6714890040231,0.896311505139543,0.630490068478399,1.1725777016098,27260.5452284789,11270.4298784155,53086.4126034532
CT,2020-05-20,587,3205.04096873742,869.431246745894,7695.40541320863,57,46.3325318564462,36.1985659103775,59.2489563174616,0.945519406741478,0.660585822298151,1.24148794223228,27155.1640975216,10692.8021014344,54513.7519203687
CT,2020-05-21,191,3193.93359726665,820.577295787087,7853.69467190748,54,44.8416940742555,34.7482600862192,57.9296552633718,0.944471404015335,0.6603546102614,1.23867933167552,27017.7220081906,10166.5447184616,55708.7301977963
CT,2020-05-22,432,3187.49815805039,773.363053162903,8046.29798633068,54,43.421815631064,33.0971863565628,56.9365592417958,0.943424040368991,0.6601366021344,1.23565909934175,26920.6908040773,9699.47334002163,56902.0564576173
CT,2020-05-23,382,3478.04352801877,799.43013773564,8982.11181727952,38,42.1237744626949,31.4092873534878,56.2803772293547,1.02968983180089,0.724028669389279,1.3443211752658,26865.8768851623,9147.07257071406,58203.5296713668
CT,2020-05-24,446,4468.1357128305,983.978907688985,11661.4908844126,18,40.9161778919595,29.7634914012843,55.9781877136991,1.32129459129337,0.923033367917219,1.75113360519697,26885.5924580275,8686.49898859081,59677.5519089409
CT,2020-05-25,405,1875.31989545942,378.771714644451,5076.87408147151,49,39.8150138124497,28.1159691316443,55.6265297122634,0.545443309385238,0.377461868396421,0.725304659497279,27195.7733317781,8362.69704520125,62256.748607201
CT,2020-05-26,430,3200.84288651573,615.763871196483,8784.45693527269,27,38.8016866687042,26.6217407215233,55.4856617343612,0.914337031581943,0.644799854820006,1.18584707718006,27605.7126616479,8059.55467951563,64542.0474115914
CT,2020-05-27,0,3388.97683070373,617.543266125025,9493.18156536157,34,37.8771097042238,25.2304895653042,55.4125861109184,0.969799399524951,0.681521596140357,1.25496997913847,27503.3163612436,7639.06613198892,66063.2449909241
CT,2020-05-28,256,3226.16306148867,557.913596563942,9243.00651873124,23,37.0372526796319,23.9776285426039,55.847615784208,0.926818167049215,0.652669352567551,1.20172256931482,27332.661421509,7214.23822947095,67194.0213898391
CT,2020-05-29,203,3063.81493016822,499.924797889967,8975.86052410875,42,36.2772611234478,22.6098869173256,56.3405346831477,0.881008701546517,0.624585726261529,1.13684352008877,27247.0123428969,6822.26864976981,68646.7446357496
